"";BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.R0815.R.A.A._Z._Z.A;BBSIS.M.I.UMR.RD.EUR.S1311.B.A604.R0815.R.A.A._Z._Z.A_FLAGS
"";Umlaufsrenditen inländischer Inhaberschuldverschreibungen / Börsennotierte Bundeswertpapiere / RLZ von über 8 bis 15 Jahren / Monatswerte (frühere Kennung: WU9554);
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Format der Zeitangabe;P1M;
Kategorie;ZRWR;
Kommentar;Anpassung des Kreises der einbezogenen Papiere zum 01.05.2020.;
Stand vom;01.10.2025 11:13:42 Uhr;
1988-01;6,51;
1988-02;6,31;
1988-03;6,21;
1988-04;6,30;
1988-05;6,60;
1988-06;6,59;
1988-07;6,76;
1988-08;6,83;
1988-09;6,62;
1988-10;6,44;
1988-11;6,39;
1988-12;6,55;
1989-01;6,68;
1989-02;6,88;
1989-03;6,96;
1989-04;6,92;
1989-05;7,05;
1989-06;6,89;
1989-07;6,76;
1989-08;6,79;
1989-09;6,99;
1989-10;7,13;
1989-11;7,46;
1989-12;7,43;
1990-01;7,83;
1990-02;8,64;
1990-03;8,85;
1990-04;8,80;
1990-05;8,82;
1990-06;8,91;
1990-07;8,64;
1990-08;8,97;
1990-09;9,13;
1990-10;9,09;
1990-11;8,98;
1990-12;8,83;
1991-01;8,94;
1991-02;8,44;
1991-03;8,44;
1991-04;8,38;
1991-05;8,39;
1991-06;8,39;
1991-07;8,63;
1991-08;8,58;
1991-09;8,46;
1991-10;8,36;
1991-11;8,36;
1991-12;8,30;
1992-01;8,00;
1992-02;7,96;
1992-03;8,02;
1992-04;8,06;
1992-05;8,11;
1992-06;8,11;
1992-07;8,17;
1992-08;8,19;
1992-09;7,86;
1992-10;7,51;
1992-11;7,45;
1992-12;7,41;
1993-01;7,15;
1993-02;6,97;
1993-03;6,68;
1993-04;6,73;
1993-05;6,86;
1993-06;6,84;
1993-07;6,66;
1993-08;6,42;
1993-09;6,23;
1993-10;6,04;
1993-11;6,00;
1993-12;5,88;
1994-01;5,85;
1994-02;6,11;
1994-03;6,46;
1994-04;6,58;
1994-05;6,78;
1994-06;7,15;
1994-07;7,00;
1994-08;7,20;
1994-09;7,59;
1994-10;7,60;
1994-11;7,56;
1994-12;7,54;
1995-01;7,65;
1995-02;7,47;
1995-03;7,30;
1995-04;7,12;
1995-05;6,88;
1995-06;6,82;
1995-07;6,90;
1995-08;6,78;
1995-09;6,61;
1995-10;6,58;
1995-11;6,35;
1995-12;6,09;
1996-01;5,87;
1996-02;6,22;
1996-03;6,43;
1996-04;6,34;
1996-05;6,39;
1996-06;6,50;
1996-07;6,45;
1996-08;6,27;
1996-09;6,19;
1996-10;5,96;
1996-11;5,83;
1996-12;5,76;
1997-01;5,76;
1997-02;5,48;
1997-03;5,67;
1997-04;5,80;
1997-05;5,69;
1997-06;5,66;
1997-07;5,48;
1997-08;5,59;
1997-09;5,52;
1997-10;5,54;
1997-11;5,53;
1997-12;5,30;
1998-01;5,08;
1998-02;4,96;
1998-03;4,88;
1998-04;4,90;
1998-05;4,96;
1998-06;4,79;
1998-07;4,70;
1998-08;4,43;
1998-09;4,09;
1998-10;4,12;
1998-11;4,14;
1998-12;3,88;
1999-01;3,71;
1999-02;3,85;
1999-03;4,04;
1999-04;3,84;
1999-05;3,99;
1999-06;4,34;
1999-07;4,68;
1999-08;4,88;
1999-09;5,05;
1999-10;5,30;
1999-11;5,04;
1999-12;5,14;
2000-01;5,53;
2000-02;5,51;
2000-03;5,33;
2000-04;5,22;
2000-05;5,39;
2000-06;5,20;
2000-07;5,29;
2000-08;5,23;
2000-09;5,28;
2000-10;5,22;
2000-11;5,16;
2000-12;4,90;
2001-01;4,79;
2001-02;4,77;
2001-03;4,67;
2001-04;4,82;
2001-05;5,04;
2001-06;5,00;
2001-07;5,01;
2001-08;4,82;
2001-09;4,81;
2001-10;4,59;
2001-11;4,45;
2001-12;4,74;
2002-01;4,86;
2002-02;4,92;
2002-03;5,16;
2002-04;5,16;
2002-05;5,17;
2002-06;5,02;
2002-07;4,86;
2002-08;4,58;
2002-09;4,37;
2002-10;4,44;
2002-11;4,45;
2002-12;4,30;
2003-01;4,14;
2003-02;3,92;
2003-03;3,96;
2003-04;4,10;
2003-05;3,77;
2003-06;3,57;
2003-07;3,91;
2003-08;4,09;
2003-09;4,12;
2003-10;4,17;
2003-11;4,31;
2003-12;4,25;
2004-01;4,12;
2004-02;4,05;
2004-03;3,86;
2004-04;4,05;
2004-05;4,21;
2004-06;4,26;
2004-07;4,19;
2004-08;4,03;
2004-09;3,97;
2004-10;3,85;
2004-11;3,74;
2004-12;3,54;
2005-01;3,51;
2005-02;3,50;
2005-03;3,65;
2005-04;3,44;
2005-05;3,26;
2005-06;3,09;
2005-07;3,16;
2005-08;3,18;
2005-09;3,02;
