"";BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A;BBSIS.M.I.UMR.RD.EUR.X2000.B.A.A.R.A.A._Z._Z.A_FLAGS
"";Umlaufsrenditen inländischer Inhaberschuldverschreibungen / Anleihen von Unternehmen (Nicht-MFIs) / Monatswerte;
Dezimalstellen;2;
Dimension;Eins;
Einheit;Prozent;
Format der Zeitangabe;P1M;
Kategorie;ZRWR;
Kommentar;Anpassung des Kreises der einbezogenen Papiere zum 01.05.2020.;
Stand vom;01.10.2025 11:13:43 Uhr;
1957-01;8,10;
1957-02;8,10;
1957-03;8,10;
1957-04;8,00;
1957-05;8,00;
1957-06;8,00;
1957-07;7,90;
1957-08;7,80;
1957-09;7,70;
1957-10;7,80;
1957-11;7,80;
1957-12;7,80;
1958-01;7,60;
1958-02;7,50;
1958-03;7,30;
1958-04;7,20;
1958-05;7,20;
1958-06;7,10;
1958-07;6,70;
1958-08;6,50;
1958-09;6,30;
1958-10;6,20;
1958-11;6,00;
1958-12;6,00;
1959-01;5,70;
1959-02;5,70;
1959-03;5,80;
1959-04;5,80;
1959-05;5,90;
1959-06;5,90;
1959-07;5,70;
1959-08;5,60;
1959-09;5,80;
1959-10;5,90;
1959-11;5,90;
1959-12;6,20;
1960-01;6,50;
1960-02;6,20;
1960-03;6,10;
1960-04;6,00;
1960-05;6,20;
1960-06;6,50;
1960-07;6,50;
1960-08;6,20;
1960-09;6,30;
1960-10;6,10;
1960-11;6,00;
1960-12;6,10;
1961-01;5,80;
1961-02;5,70;
1961-03;5,80;
1961-04;5,70;
1961-05;5,60;
1961-06;5,60;
1961-07;5,80;
1961-08;6,00;
1961-09;6,30;
1961-10;6,10;
1961-11;6,10;
1961-12;6,20;
1962-01;5,90;
1962-02;5,80;
1962-03;5,70;
1962-04;5,70;
1962-05;5,80;
1962-06;6,10;
1962-07;6,00;
1962-08;6,10;
1962-09;6,10;
1962-10;6,30;
1962-11;6,40;
1962-12;6,30;
1963-01;6,10;
1963-02;6,00;
1963-03;6,00;
1963-04;6,00;
1963-05;6,10;
1963-06;6,10;
1963-07;6,10;
1963-08;6,10;
1963-09;6,00;
1963-10;5,90;
1963-11;5,90;
1963-12;6,00;
1964-01;5,90;
1964-02;5,90;
1964-03;6,00;
1964-04;6,20;
1964-05;6,30;
1964-06;6,40;
1964-07;6,30;
1964-08;6,30;
1964-09;6,30;
1964-10;6,30;
1964-11;6,30;
1964-12;6,30;
1965-01;6,30;
1965-02;6,40;
1965-03;6,50;
1965-04;6,60;
1965-05;6,90;
1965-06;7,00;
1965-07;7,10;
1965-08;7,20;
1965-09;7,30;
1965-10;7,30;
1965-11;7,40;
1965-12;7,60;
1966-01;7,50;
1966-02;7,50;
1966-03;7,60;
1966-04;7,90;
1966-05;8,00;
1966-06;8,20;
1966-07;8,30;
1966-08;8,20;
1966-09;8,20;
1966-10;8,10;
1966-11;8,10;
1966-12;7,80;
1967-01;7,60;
1967-02;7,50;
1967-03;7,40;
1967-04;7,10;
1967-05;7,10;
1967-06;7,10;
1967-07;7,10;
1967-08;7,10;
1967-09;7,00;
1967-10;7,10;
1967-11;7,10;
1967-12;7,10;
1968-01;7,00;
1968-02;7,00;
1968-03;6,90;
1968-04;6,90;
1968-05;6,70;
1968-06;6,70;
1968-07;6,60;
1968-08;6,50;
1968-09;6,50;
1968-10;6,50;
1968-11;6,60;
1968-12;6,50;
1969-01;6,50;
1969-02;6,50;
1969-03;6,70;
1969-04;6,80;
1969-05;6,70;
1969-06;7,00;
1969-07;7,20;
1969-08;7,10;
1969-09;7,30;
1969-10;7,40;
1969-11;7,40;
1969-12;7,80;
1970-01;7,80;
1970-02;7,80;
1970-03;8,20;
1970-04;8,20;
1970-05;8,70;
1970-06;9,00;
1970-07;8,80;
1970-08;8,50;
1970-09;8,60;
1970-10;8,90;
1970-11;8,90;
1970-12;8,40;
1971-01;7,80;
1971-02;7,80;
1971-03;8,00;
1971-04;8,00;
1971-05;8,10;
1971-06;8,30;
1971-07;8,50;
1971-08;8,50;
1971-09;8,30;
1971-10;8,20;
1971-11;8,20;
1971-12;8,20;
1972-01;7,90;
1972-02;7,60;
1972-03;7,70;
1972-04;7,90;
1972-05;8,10;
1972-06;8,20;
1972-07;8,20;
1972-08;8,00;
1972-09;8,00;
1972-10;8,20;
1972-11;8,50;
1972-12;8,70;
1973-01;8,90;
1973-02;8,80;
1973-03;8,70;
1973-04;9,00;
1973-05;9,80;
1973-06;10,50;
1973-07;10,60;
1973-08;10,50;
1973-09;10,10;
1973-10;10,20;
1973-11;9,90;
1973-12;10,10;
1974-01;10,10;
1974-02;10,50;
1974-03;11,40;
1974-04;11,40;
1974-05;11,40;
1974-06;11,40;
1974-07;11,40;
1974-08;11,30;
1974-09;11,40;
1974-10;11,40;
1974-11;11,10;
1974-12;10,50;
1975-01;9,90;
1975-02;9,40;
1975-03;9,30;
1975-04;9,20;
1975-05;8,90;
1975-06;8,70;
1975-07;8,90;
1975-08;9,10;
1975-09;9,20;
1975-10;9,10;
1975-11;9,00;
1975-12;8,90;
1976-01;8,60;
1976-02;8,30;
1976-03;7,90;
1976-04;7,90;
1976-05;8,20;
1976-06;8,40;
1976-07;8,50;
1976-08;8,40;
1976-09;8,20;
1976-10;8,10;
1976-11;7,70;
1976-12;7,60;
1977-01;7,40;
1977-02;7,30;
1977-03;7,20;
1977-04;6,80;
1977-05;6,80;
1977-06;6,70;
1977-07;6,60;
1977-08;6,50;
1977-09;6,50;
1977-10;6,50;
1977-11;6,50;
1977-12;6,40;
1978-01;6,30;
1978-02;6,30;
1978-03;6,40;
1978-04;6,50;
1978-05;6,60;
1978-06;6,60;
1978-07;6,70;
1978-08;6,80;
1978-09;6,70;
1978-10;6,70;
1978-11;6,80;
1978-12;6,80;
1979-01;6,80;
1979-02;6,97;
1979-03;7,04;
1979-04;7,25;
1979-05;7,67;
1979-06;7,96;
1979-07;7,96;
1979-08;7,75;
1979-09;7,81;
1979-10;7,98;
1979-11;8,42;
1979-12;8,22;
1980-01;8,26;
1980-02;8,51;
1980-03;9,63;
1980-04;9,98;
1980-05;9,35;
1980-06;8,85;
1980-07;8,39;
1980-08;8,12;
1980-09;8,47;
1980-10;8,76;
1980-11;9,31;
1980-12;9,46;
1981-01;9,48;
1981-02;10,00;
1981-03;10,97;
1981-04;10,89;
1981-05;11,46;
1981-06;11,70;
1981-07;11,69;
1981-08;11,78;
1981-09;11,85;
1981-10;11,31;
1981-11;10,99;
1981-12;10,49;
1982-01;10,39;
1982-02;10,19;
1982-03;9,89;
1982-04;9,35;
1982-05;9,12;
1982-06;9,28;
1982-07;9,46;
1982-08;9,45;
1982-09;9,27;
1982-10;8,89;
1982-11;8,49;
1982-12;8,16;
1983-01;7,89;
1983-02;7,73;
1983-03;7,52;
1983-04;7,30;
1983-05;7,37;
1983-06;7,89;
1983-07;8,01;
1983-08;8,14;
1983-09;8,32;
1983-10;8,26;
1983-11;8,26;
1983-12;8,26;
1984-01;8,26;
1984-02;8,02;
